algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
QuantumGreedy(cheb_d50),ext_mc_C250-9,maximum_clique,33.0,36.52518207000685,32,33,0,0.0,False,"[6, 135, 8, 137, 16, 144, 149, 25, 28, 34, 36, 42, 44, 179, 58, 59, 63, 64, 66, 195, 197, 73, 83, 85, 88, 217, 222, 227, 233, 107, 114, 124, 126]",C250-9,QuantumGreedy_cheb_d50,2,2,39.40297375400405,250,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
SimulatedAnnealing,ext_mc_gen200-p0-9-44,maximum_clique,34.0,0.3611903510027332,2000,34,0,0.0,False,"[1, 131, 132, 6, 136, 138, 143, 145, 147, 20, 152, 155, 32, 160, 34, 172, 44, 48, 176, 181, 54, 56, 184, 58, 61, 198, 74, 75, 78, 85, 89, 99, 116, 124]",gen200-p0-9-44,SimulatedAnnealing,2,2,3.322232140999404,200,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_gen200-p0-9-44,maximum_clique,33.0,2.3482150029958575,32,33,0,0.0,False,"[1, 132, 15, 16, 18, 22, 24, 25, 26, 155, 44, 172, 47, 177, 50, 51, 49, 52, 55, 57, 189, 68, 69, 74, 75, 78, 87, 105, 112, 116, 117, 124, 125]",gen200-p0-9-44,QuantumGreedy_krylov_m30,2,2,4.745925859999261,200,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,ext_mc_p-hat300-3,maximum_clique,30.0,0.05164177600090625,30,30,0,0.0,False,"[258, 3, 132, 267, 273, 18, 148, 20, 152, 286, 32, 164, 37, 39, 296, 298, 173, 48, 55, 189, 198, 74, 75, 204, 97, 238, 239, 246, 118, 254]",p-hat300-3,ClassicalDegree,0,0,3.1975846290006302,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),ext_mc_gen200-p0-9-44,maximum_clique,32.0,37.10652431900235,31,32,0,0.0,False,"[128, 1, 2, 129, 4, 8, 144, 151, 152, 24, 33, 166, 168, 43, 173, 174, 45, 48, 49, 178, 51, 180, 55, 192, 196, 68, 98, 100, 106, 107, 120, 126]",gen200-p0-9-44,QuantumGreedy_cheb_d50,0,0,42.176266294001834,200,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.45168268799898215,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,0,0,2.5534057339973515,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_p-hat300-3,maximum_clique,26.0,0.32416108800680377,2000,26,0,0.0,False,"[261, 134, 262, 137, 19, 214, 27, 157, 224, 225, 102, 103, 168, 296, 42, 110, 176, 48, 179, 244, 125, 55, 187, 124, 189, 254]",p-hat300-3,SimulatedAnnealing,0,0,1.929436705999251,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),ext_mc_C1000-9,maximum_clique,52.0,107.5389436109981,51,52,0,0.0,False,"[512, 897, 513, 776, 137, 650, 652, 397, 528, 529, 273, 409, 26, 284, 30, 418, 547, 676, 166, 181, 309, 55, 313, 700, 60, 62, 959, 703, 962, 195, 199, 328, 459, 590, 465, 854, 218, 475, 986, 93, 612, 746, 874, 237, 627, 756, 885, 633, 762, 379, 765, 894]",C1000-9,QuantumGreedy_cheb_d50,2,2,110.82381526799873,1000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_p-hat300-3,maximum_clique,30.0,0.13517334499920253,30,30,0,0.0,False,"[258, 3, 132, 267, 273, 18, 148, 20, 152, 286, 32, 164, 37, 39, 296, 298, 173, 48, 55, 189, 198, 74, 75, 204, 97, 238, 239, 246, 118, 254]",p-hat300-3,ClassicalDegree,1,1,2.0644832010002574,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.6737395860036486,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,1,1,3.478608195000561,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
QuantumGreedy(krylov_m30),ext_mc_p-hat300-3,maximum_clique,29.0,3.505123024995555,28,29,0,0.0,False,"[258, 12, 145, 20, 276, 158, 159, 289, 292, 165, 39, 296, 42, 43, 48, 178, 75, 207, 208, 213, 214, 88, 97, 106, 234, 236, 238, 119, 125]",p-hat300-3,QuantumGreedy_krylov_m30,0,0,7.760848568999791,300,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
SimulatedAnnealing,ext_mc_p-hat300-3,maximum_clique,30.0,0.34898918100225274,2000,30,0,0.0,False,"[129, 198, 74, 267, 268, 204, 78, 271, 272, 18, 210, 23, 280, 217, 282, 155, 119, 289, 164, 39, 104, 297, 236, 46, 238, 48, 239, 244, 55, 191]",p-hat300-3,SimulatedAnnealing,1,1,2.075586839004245,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),ext_mc_gen200-p0-9-44,maximum_clique,32.0,35.531336526000814,31,32,0,0.0,False,"[128, 1, 2, 129, 4, 8, 144, 151, 152, 24, 33, 166, 168, 43, 173, 174, 45, 48, 49, 178, 51, 180, 55, 192, 196, 68, 98, 100, 106, 107, 120, 126]",gen200-p0-9-44,QuantumGreedy_cheb_d50,1,1,38.59209781399841,200,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(krylov_m30),ext_mc_p-hat300-3,maximum_clique,29.0,2.181933462001325,28,29,0,0.0,False,"[258, 12, 145, 20, 276, 158, 159, 289, 292, 165, 39, 296, 42, 43, 48, 178, 75, 207, 208, 213, 214, 88, 97, 106, 234, 236, 238, 119, 125]",p-hat300-3,QuantumGreedy_krylov_m30,1,1,4.1981568600022,300,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,ext_mc_p-hat300-3,maximum_clique,30.0,0.29788199000176974,30,30,0,0.0,False,"[258, 3, 132, 267, 273, 18, 148, 20, 152, 286, 32, 164, 37, 39, 296, 298, 173, 48, 55, 189, 198, 74, 75, 204, 97, 238, 239, 246, 118, 254]",p-hat300-3,ClassicalDegree,2,2,4.159722282995062,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.6572137729963288,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,2,2,4.456691684004909,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_p-hat300-3,maximum_clique,28.0,0.3215167320013279,2000,28,0,0.0,False,"[258, 3, 135, 136, 138, 74, 78, 144, 273, 18, 148, 20, 279, 88, 155, 285, 97, 37, 165, 39, 296, 103, 236, 238, 246, 55, 120, 254]",p-hat300-3,SimulatedAnnealing,2,2,4.145596464004484,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_p-hat300-3,maximum_clique,29.0,4.178958051001246,28,29,0,0.0,False,"[258, 12, 145, 20, 276, 158, 159, 289, 292, 165, 39, 296, 42, 43, 48, 178, 75, 207, 208, 213, 214, 88, 97, 106, 234, 236, 238, 119, 125]",p-hat300-3,QuantumGreedy_krylov_m30,2,2,9.243630805998691,300,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_gen200-p0-9-44,maximum_clique,32.0,34.300429657996574,31,32,0,0.0,False,"[128, 1, 2, 129, 4, 8, 144, 151, 152, 24, 33, 166, 168, 43, 173, 174, 45, 48, 49, 178, 51, 180, 55, 192, 196, 68, 98, 100, 106, 107, 120, 126]",gen200-p0-9-44,QuantumGreedy_cheb_d50,2,2,36.313122380001005,200,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(cheb_d50),ext_mc_p-hat300-3,maximum_clique,30.0,30.04939473899867,29,30,0,0.0,False,"[267, 271, 273, 17, 20, 152, 25, 27, 158, 32, 39, 298, 171, 47, 48, 178, 55, 189, 196, 199, 74, 75, 204, 83, 225, 109, 238, 122, 251, 254]",p-hat300-3,QuantumGreedy_cheb_d50,0,0,32.184464662997925,300,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(cheb_d50),ext_mc_p-hat300-3,maximum_clique,30.0,27.46082376100094,29,30,0,0.0,False,"[267, 271, 273, 17, 20, 152, 25, 27, 158, 32, 39, 298, 171, 47, 48, 178, 55, 189, 196, 199, 74, 75, 204, 83, 225, 109, 238, 122, 251, 254]",p-hat300-3,QuantumGreedy_cheb_d50,1,1,30.023326313996222,300,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(cheb_d50),ext_mc_p-hat300-3,maximum_clique,30.0,21.564313260001654,29,30,0,0.0,False,"[267, 271, 273, 17, 20, 152, 25, 27, 158, 32, 39, 298, 171, 47, 48, 178, 55, 189, 196, 199, 74, 75, 204, 83, 225, 109, 238, 122, 251, 254]",p-hat300-3,QuantumGreedy_cheb_d50,2,2,23.127522085997043,300,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_C2000-9,maximum_clique,56.0,0.7805440720039769,56,56,0,0.0,False,"[1922, 643, 645, 1673, 139, 1423, 18, 19, 1298, 1173, 1556, 1688, 27, 1694, 286, 416, 1695, 30, 1586, 1715, 564, 439, 441, 1980, 1856, 577, 1353, 1739, 1997, 1998, 719, 464, 1360, 1488, 81, 597, 727, 1624, 1372, 861, 866, 867, 611, 1123, 1385, 1898, 1769, 1644, 1389, 749, 1136, 1266, 631, 1402, 1915, 1022]",C2000-9,ClassicalDegree,0,0,2.7937884310013033,2000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_C2000-9,maximum_clique,66.0,58.0178992680012,66,66,0,0.0,False,"[256, 1026, 772, 261, 645, 263, 521, 137, 907, 1932, 1423, 1298, 19, 532, 150, 925, 286, 1054, 416, 31, 1186, 1572, 1321, 427, 1196, 301, 46, 944, 563, 1972, 439, 59, 60, 576, 577, 450, 1604, 1222, 585, 203, 721, 1363, 597, 1110, 1367, 1880, 89, 1626, 1757, 350, 479, 1758, 997, 1383, 1385, 1258, 363, 1771, 750, 1006, 368, 1905, 1653, 759, 1530, 1022]",C2000-9,ClassicalClique,0,0,59.8926377490061,2000,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_C2000-9,maximum_clique,56.0,2.6950708119984483,2000,56,0,0.0,False,"[1924, 390, 1030, 520, 1798, 138, 651, 140, 1042, 915, 1429, 917, 1822, 1311, 1696, 162, 1316, 1572, 1958, 680, 1065, 302, 1967, 1072, 1073, 50, 181, 439, 442, 188, 189, 957, 1856, 578, 70, 331, 1995, 465, 468, 340, 1749, 1753, 222, 867, 1124, 503, 1513, 874, 1643, 105, 1523, 1397, 631, 1784, 1662, 1279]",C2000-9,SimulatedAnnealing,0,0,4.665424331004033,2000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_C2000-9,maximum_clique,56.0,60.11676315600198,55,56,0,0.0,False,"[1285, 135, 263, 139, 526, 1806, 1557, 150, 407, 154, 1691, 413, 416, 1697, 800, 291, 37, 678, 1063, 42, 299, 300, 1069, 570, 190, 1344, 577, 1473, 67, 1219, 1731, 1223, 1609, 1739, 972, 77, 1744, 466, 1501, 1120, 613, 1510, 1767, 233, 1898, 1644, 877, 622, 749, 1521, 1016, 1657, 1530, 124, 765, 1279]",C2000-9,QuantumGreedy_krylov_m30,0,0,62.21551809200173,2000,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_C2000-9,maximum_clique,58.0,98.20100841399835,57,58,0,0.0,False,"[769, 130, 3, 1284, 644, 1926, 1159, 641, 1025, 6, 913, 1939, 1429, 1685, 1175, 409, 923, 1694, 286, 35, 1188, 1317, 1579, 172, 50, 563, 435, 694, 1340, 1854, 577, 321, 1986, 584, 74, 459, 844, 79, 720, 209, 975, 851, 598, 347, 611, 376, 615, 1001, 617, 234, 1388, 1005, 748, 109, 1141, 1144, 1534, 127]",C2000-9,QuantumGreedy_cheb_d50,0,0,100.1739701369952,2000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_C2000-9,maximum_clique,56.0,0.7503445670008659,56,56,0,0.0,False,"[1922, 643, 645, 1673, 139, 1423, 18, 19, 1298, 1173, 1556, 1688, 27, 1694, 286, 416, 1695, 30, 1586, 1715, 564, 439, 441, 1980, 1856, 577, 1353, 1739, 1997, 1998, 719, 464, 1360, 1488, 81, 597, 727, 1624, 1372, 861, 866, 867, 611, 1123, 1385, 1898, 1769, 1644, 1389, 749, 1136, 1266, 631, 1402, 1915, 1022]",C2000-9,ClassicalDegree,1,1,2.690453807997983,2000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_C2000-9,maximum_clique,66.0,58.58664590699482,66,66,0,0.0,False,"[256, 1026, 772, 261, 645, 263, 521, 137, 907, 1932, 1423, 1298, 19, 532, 150, 925, 286, 1054, 416, 31, 1186, 1572, 1321, 427, 1196, 301, 46, 944, 563, 1972, 439, 59, 60, 576, 577, 450, 1604, 1222, 585, 203, 721, 1363, 597, 1110, 1367, 1880, 89, 1626, 1757, 350, 479, 1758, 997, 1383, 1385, 1258, 363, 1771, 750, 1006, 368, 1905, 1653, 759, 1530, 1022]",C2000-9,ClassicalClique,1,1,60.52463618799811,2000,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_C2000-9,maximum_clique,63.0,9.490825478998886,2000,63,0,0.0,False,"[1413, 135, 648, 1928, 907, 525, 1678, 1423, 1296, 18, 914, 25, 1053, 1054, 414, 1312, 927, 159, 1827, 1697, 417, 1062, 1446, 1193, 1579, 172, 1584, 692, 1845, 1849, 697, 571, 315, 185, 575, 1863, 457, 1228, 1486, 1361, 721, 1108, 469, 1627, 347, 1629, 93, 97, 1638, 1510, 1001, 1899, 108, 1389, 749, 1903, 1136, 1264, 1138, 1139, 1012, 1782, 1530]",C2000-9,SimulatedAnnealing,1,1,11.482677217994933,2000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_C2000-9,maximum_clique,56.0,59.49099785099679,55,56,0,0.0,False,"[1285, 135, 263, 139, 526, 1806, 1557, 150, 407, 154, 1691, 413, 416, 1697, 800, 291, 37, 678, 1063, 42, 299, 300, 1069, 570, 190, 1344, 577, 1473, 67, 1219, 1731, 1223, 1609, 1739, 972, 77, 1744, 466, 1501, 1120, 613, 1510, 1767, 233, 1898, 1644, 877, 622, 749, 1521, 1016, 1657, 1530, 124, 765, 1279]",C2000-9,QuantumGreedy_krylov_m30,1,1,61.436775688001944,2000,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_C2000-9,maximum_clique,58.0,101.17802753699652,57,58,0,0.0,False,"[769, 130, 3, 1284, 644, 1926, 1159, 641, 1025, 6, 913, 1939, 1429, 1685, 1175, 409, 923, 1694, 286, 35, 1188, 1317, 1579, 172, 50, 563, 435, 694, 1340, 1854, 577, 321, 1986, 584, 74, 459, 844, 79, 720, 209, 975, 851, 598, 347, 611, 376, 615, 1001, 617, 234, 1388, 1005, 748, 109, 1141, 1144, 1534, 127]",C2000-9,QuantumGreedy_cheb_d50,1,1,103.21212610699877,2000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_C2000-9,maximum_clique,56.0,0.7832684780005366,56,56,0,0.0,False,"[1922, 643, 645, 1673, 139, 1423, 18, 19, 1298, 1173, 1556, 1688, 27, 1694, 286, 416, 1695, 30, 1586, 1715, 564, 439, 441, 1980, 1856, 577, 1353, 1739, 1997, 1998, 719, 464, 1360, 1488, 81, 597, 727, 1624, 1372, 861, 866, 867, 611, 1123, 1385, 1898, 1769, 1644, 1389, 749, 1136, 1266, 631, 1402, 1915, 1022]",C2000-9,ClassicalDegree,2,2,2.785016176996578,2000,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_C2000-9,maximum_clique,66.0,58.2906747080051,66,66,0,0.0,False,"[256, 1026, 772, 261, 645, 263, 521, 137, 907, 1932, 1423, 1298, 19, 532, 150, 925, 286, 1054, 416, 31, 1186, 1572, 1321, 427, 1196, 301, 46, 944, 563, 1972, 439, 59, 60, 576, 577, 450, 1604, 1222, 585, 203, 721, 1363, 597, 1110, 1367, 1880, 89, 1626, 1757, 350, 479, 1758, 997, 1383, 1385, 1258, 363, 1771, 750, 1006, 368, 1905, 1653, 759, 1530, 1022]",C2000-9,ClassicalClique,2,2,60.25218862100155,2000,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_C2000-9,maximum_clique,59.0,8.827743049005221,2000,59,0,0.0,False,"[1024, 513, 130, 1283, 1155, 644, 1289, 266, 653, 914, 1043, 275, 277, 1560, 24, 1820, 669, 1823, 673, 165, 1834, 683, 428, 685, 1456, 177, 54, 823, 566, 569, 826, 1598, 1726, 65, 706, 197, 1354, 202, 332, 1227, 716, 591, 851, 1107, 212, 1120, 1764, 740, 614, 1513, 1898, 746, 1902, 1135, 1776, 1264, 627, 1779, 507]",C2000-9,SimulatedAnnealing,2,2,10.770388737997564,2000,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_C2000-9,maximum_clique,56.0,59.94131328899675,55,56,0,0.0,False,"[1285, 135, 263, 139, 526, 1806, 1557, 150, 407, 154, 1691, 413, 416, 1697, 800, 291, 37, 678, 1063, 42, 299, 300, 1069, 570, 190, 1344, 577, 1473, 67, 1219, 1731, 1223, 1609, 1739, 972, 77, 1744, 466, 1501, 1120, 613, 1510, 1767, 233, 1898, 1644, 877, 622, 749, 1521, 1016, 1657, 1530, 124, 765, 1279]",C2000-9,QuantumGreedy_krylov_m30,2,2,61.861739800006035,2000,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_C2000-9,maximum_clique,58.0,100.0453033800004,57,58,0,0.0,False,"[769, 130, 3, 1284, 644, 1926, 1159, 641, 1025, 6, 913, 1939, 1429, 1685, 1175, 409, 923, 1694, 286, 35, 1188, 1317, 1579, 172, 50, 563, 435, 694, 1340, 1854, 577, 321, 1986, 584, 74, 459, 844, 79, 720, 209, 975, 851, 598, 347, 611, 376, 615, 1001, 617, 234, 1388, 1005, 748, 109, 1141, 1144, 1534, 127]",C2000-9,QuantumGreedy_cheb_d50,2,2,102.06887923300383,2000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
