source_label,n,K,display_name,runs,mean_objective,max_objective,median_wall_time,p95_wall_time,timeout_rate
mc_mislead_n100_p005_k10,100,0,ClassicalClique,5,7.0,8.0,3.071346900000208,3.3182774199987763,0.0
mc_mislead_n100_p005_k10,100,5,MS_CTQW_cheb_d50,5,9.8,10.0,3.085469300000113,3.1437425999996775,0.0
mc_mislead_n100_p005_k10,100,5,MS_Degree,5,9.8,10.0,3.0936667999994825,3.306739479999669,0.0
mc_mislead_n100_p005_k10,100,5,MS_HybridSeed_b0.25_cheb_d50,5,9.8,10.0,3.0667167999999947,3.1079316199997264,0.0
mc_mislead_n100_p005_k10,100,5,MS_HybridSeed_b0.5_cheb_d50,5,9.8,10.0,3.059352600001148,3.0857767800007423,0.0
mc_mislead_n100_p005_k10,100,5,MS_HybridSeed_b0.75_cheb_d50,5,9.8,10.0,3.059824700001627,3.0967380199981562,0.0
mc_mislead_n100_p005_k10,100,5,MS_Random,5,9.2,10.0,3.095067600002949,3.298509999998351,0.0
mc_mislead_n100_p005_k10,100,10,MS_CTQW_cheb_d50,5,9.8,10.0,3.070244200000161,3.104601800000819,0.0
mc_mislead_n100_p005_k10,100,10,MS_Degree,5,9.8,10.0,3.0711817999981577,3.2163717000010363,0.0
mc_mislead_n100_p005_k10,100,10,MS_HybridSeed_b0.25_cheb_d50,5,9.8,10.0,3.055680099998426,3.093106059998536,0.0
mc_mislead_n100_p005_k10,100,10,MS_HybridSeed_b0.5_cheb_d50,5,9.8,10.0,3.0774276000011014,3.0941275000019233,0.0
mc_mislead_n100_p005_k10,100,10,MS_HybridSeed_b0.75_cheb_d50,5,9.8,10.0,3.084187500000553,3.157138440000563,0.0
mc_mislead_n100_p005_k10,100,10,MS_Random,5,9.4,10.0,3.1008153000002494,3.263957519999531,0.0
mc_mislead_n100_p005_k10,100,20,MS_CTQW_cheb_d50,5,10.0,10.0,3.077771100000973,3.0965690999990327,0.0
mc_mislead_n100_p005_k10,100,20,MS_Degree,5,9.8,10.0,3.1427622999981395,3.168638720001036,0.0
mc_mislead_n100_p005_k10,100,20,MS_HybridSeed_b0.25_cheb_d50,5,9.8,10.0,3.086415899997519,3.1907951200002573,0.0
mc_mislead_n100_p005_k10,100,20,MS_HybridSeed_b0.5_cheb_d50,5,9.8,10.0,3.092281899997033,3.185407900001155,0.0
mc_mislead_n100_p005_k10,100,20,MS_HybridSeed_b0.75_cheb_d50,5,9.8,10.0,3.107910000002448,3.2538004400004867,0.0
mc_mislead_n100_p005_k10,100,20,MS_Random,5,10.0,10.0,3.0722014999992098,3.295049620001373,0.0
mc_mislead_n100_p01_k10,100,0,ClassicalClique,5,6.6,9.0,3.07691160000104,3.403284999998141,0.0
mc_mislead_n100_p01_k10,100,5,MS_CTQW_cheb_d50,5,9.6,10.0,3.0998647999986133,3.4155660000011263,0.0
mc_mislead_n100_p01_k10,100,5,MS_Degree,5,9.6,10.0,3.111744500001805,3.3992719999994736,0.0
mc_mislead_n100_p01_k10,100,5,MS_HybridSeed_b0.25_cheb_d50,5,9.6,10.0,3.0844584999977087,3.19215687999822,0.0
mc_mislead_n100_p01_k10,100,5,MS_HybridSeed_b0.5_cheb_d50,5,9.6,10.0,3.0801401999997324,3.2669394200005626,0.0
mc_mislead_n100_p01_k10,100,5,MS_HybridSeed_b0.75_cheb_d50,5,9.6,10.0,3.102449300000444,3.186338620000606,0.0
mc_mislead_n100_p01_k10,100,5,MS_Random,5,9.8,10.0,3.0779038000000583,3.4588846000020568,0.0
mc_mislead_n100_p01_k10,100,10,MS_CTQW_cheb_d50,5,9.6,10.0,3.102439400001458,3.1521850999997696,0.0
mc_mislead_n100_p01_k10,100,10,MS_Degree,5,9.8,10.0,3.099365800000669,3.140148980001686,0.0
mc_mislead_n100_p01_k10,100,10,MS_HybridSeed_b0.25_cheb_d50,5,9.6,10.0,3.0746232999990752,3.2067303199983144,0.0
mc_mislead_n100_p01_k10,100,10,MS_HybridSeed_b0.5_cheb_d50,5,9.6,10.0,3.085050899997441,3.275792939998064,0.0
mc_mislead_n100_p01_k10,100,10,MS_HybridSeed_b0.75_cheb_d50,5,9.6,10.0,3.095798399997875,3.2519534799997927,0.0
mc_mislead_n100_p01_k10,100,10,MS_Random,5,9.4,10.0,3.048615499999869,3.1817652600002475,0.0
mc_mislead_n100_p01_k10,100,20,MS_CTQW_cheb_d50,5,10.0,10.0,3.085383900001034,3.1389111800002865,0.0
mc_mislead_n100_p01_k10,100,20,MS_Degree,5,10.0,10.0,3.111794699998427,3.239640800000052,0.0
mc_mislead_n100_p01_k10,100,20,MS_HybridSeed_b0.25_cheb_d50,5,10.0,10.0,3.086253900000884,3.1586121999993337,0.0
mc_mislead_n100_p01_k10,100,20,MS_HybridSeed_b0.5_cheb_d50,5,10.0,10.0,3.114959999998973,3.256994340000529,0.0
mc_mislead_n100_p01_k10,100,20,MS_HybridSeed_b0.75_cheb_d50,5,10.0,10.0,3.127218699999503,3.3507230799994434,0.0
mc_mislead_n100_p01_k10,100,20,MS_Random,5,10.0,10.0,3.058420199999091,3.1388511599994673,0.0
mc_mislead_n200_p005_k16,200,0,ClassicalClique,5,13.0,15.0,3.149056300000666,3.1810121599984997,0.0
mc_mislead_n200_p005_k16,200,5,MS_CTQW_cheb_d50,5,15.8,16.0,3.161641899998358,3.1753841600017045,0.0
mc_mislead_n200_p005_k16,200,5,MS_Degree,5,15.6,16.0,3.1504523000003246,3.2169239999995627,0.0
mc_mislead_n200_p005_k16,200,5,MS_HybridSeed_b0.25_cheb_d50,5,15.8,16.0,3.1976189999986677,3.3101896800006214,0.0
mc_mislead_n200_p005_k16,200,5,MS_HybridSeed_b0.5_cheb_d50,5,15.8,16.0,3.2025443999991694,3.3117325199986225,0.0
mc_mislead_n200_p005_k16,200,5,MS_HybridSeed_b0.75_cheb_d50,5,15.8,16.0,3.1656880999980785,3.260848300001817,0.0
mc_mislead_n200_p005_k16,200,5,MS_Random,5,14.2,16.0,3.223609900000156,3.234218519998103,0.0
mc_mislead_n200_p005_k16,200,10,MS_CTQW_cheb_d50,5,15.8,16.0,3.226360599997861,3.259514720001607,0.0
mc_mislead_n200_p005_k16,200,10,MS_Degree,5,15.8,16.0,3.154263299999002,3.200323400000343,0.0
mc_mislead_n200_p005_k16,200,10,MS_HybridSeed_b0.25_cheb_d50,5,15.8,16.0,3.208496200000809,3.2258686000001036,0.0
mc_mislead_n200_p005_k16,200,10,MS_HybridSeed_b0.5_cheb_d50,5,15.8,16.0,3.234993800000666,3.247510579999653,0.0
mc_mislead_n200_p005_k16,200,10,MS_HybridSeed_b0.75_cheb_d50,5,15.8,16.0,3.2054726999995182,3.220727939999051,0.0
mc_mislead_n200_p005_k16,200,10,MS_Random,5,15.6,16.0,3.126431600001524,3.197922859998653,0.0
mc_mislead_n200_p005_k16,200,20,MS_CTQW_cheb_d50,5,15.8,16.0,3.289810500002204,3.47574701999838,0.0
mc_mislead_n200_p005_k16,200,20,MS_Degree,5,15.8,16.0,3.290325900001335,3.297321720000036,0.0
mc_mislead_n200_p005_k16,200,20,MS_HybridSeed_b0.25_cheb_d50,5,15.8,16.0,3.2779164999992645,3.3240978200003157,0.0
mc_mislead_n200_p005_k16,200,20,MS_HybridSeed_b0.5_cheb_d50,5,15.8,16.0,3.2925987000016903,3.3480916000000436,0.0
mc_mislead_n200_p005_k16,200,20,MS_HybridSeed_b0.75_cheb_d50,5,15.8,16.0,3.3008618999992905,3.34740764000162,0.0
mc_mislead_n200_p005_k16,200,20,MS_Random,5,15.4,16.0,3.2026006000014604,3.257680039999832,0.0
mc_mislead_n200_p01_k16,200,0,ClassicalClique,5,13.2,14.0,3.256572199999937,3.4064707400000773,0.0
mc_mislead_n200_p01_k16,200,5,MS_CTQW_cheb_d50,5,14.6,15.0,3.2554024000019126,3.442820760001632,0.0
mc_mislead_n200_p01_k16,200,5,MS_Degree,5,14.4,15.0,3.2994433000021672,3.425251639999624,0.0
mc_mislead_n200_p01_k16,200,5,MS_HybridSeed_b0.25_cheb_d50,5,14.4,15.0,3.22597119999773,3.448589019999781,0.0
mc_mislead_n200_p01_k16,200,5,MS_HybridSeed_b0.5_cheb_d50,5,14.6,15.0,3.1799010999966413,3.3941003399995684,0.0
mc_mislead_n200_p01_k16,200,5,MS_HybridSeed_b0.75_cheb_d50,5,14.6,15.0,3.1687000000019907,3.4221687600002046,0.0
mc_mislead_n200_p01_k16,200,5,MS_Random,5,13.2,16.0,3.1425142000007327,3.3855705799971476,0.0
mc_mislead_n200_p01_k16,200,10,MS_CTQW_cheb_d50,5,15.0,15.0,3.333322499998758,3.4615836000019042,0.0
mc_mislead_n200_p01_k16,200,10,MS_Degree,5,15.0,15.0,3.2376041999996232,3.480453539998416,0.0
mc_mislead_n200_p01_k16,200,10,MS_HybridSeed_b0.25_cheb_d50,5,15.0,15.0,3.2178894999997283,3.580820259999746,0.0
mc_mislead_n200_p01_k16,200,10,MS_HybridSeed_b0.5_cheb_d50,5,15.0,15.0,3.2398825000018405,3.6117476200008243,0.0
mc_mislead_n200_p01_k16,200,10,MS_HybridSeed_b0.75_cheb_d50,5,15.0,15.0,3.241550200000347,3.633096819998173,0.0
mc_mislead_n200_p01_k16,200,10,MS_Random,5,15.0,16.0,3.2019189999991795,3.4696056600012524,0.0
mc_mislead_n200_p01_k16,200,20,MS_CTQW_cheb_d50,5,15.2,16.0,3.420811899999535,3.60535746000096,0.0
mc_mislead_n200_p01_k16,200,20,MS_Degree,5,15.2,16.0,3.3216063999971084,3.6211667600022333,0.0
mc_mislead_n200_p01_k16,200,20,MS_HybridSeed_b0.25_cheb_d50,5,15.2,16.0,3.364882199999556,3.660132899999735,0.0
mc_mislead_n200_p01_k16,200,20,MS_HybridSeed_b0.5_cheb_d50,5,15.2,16.0,3.5391831999986607,3.561162300001888,0.0
mc_mislead_n200_p01_k16,200,20,MS_HybridSeed_b0.75_cheb_d50,5,15.2,16.0,3.5581010000023525,3.730049040000449,0.0
mc_mislead_n200_p01_k16,200,20,MS_Random,5,16.0,16.0,3.259878700002446,3.466978779999772,0.0
mc_mislead_n300_p005_k20,300,0,ClassicalClique,5,16.2,18.0,3.596796199999517,3.6313908000003723,0.0
mc_mislead_n300_p005_k20,300,5,MS_CTQW_cheb_d50,5,17.2,20.0,3.583261499999935,4.031622839999909,0.0
mc_mislead_n300_p005_k20,300,5,MS_Degree,5,17.0,18.0,3.627375900003244,3.7637660399996093,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.25_cheb_d50,5,16.8,18.0,3.634447700002056,4.0195306399982655,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.5_cheb_d50,5,16.8,18.0,3.6627546999989136,4.012523579998378,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.75_cheb_d50,5,16.8,18.0,3.7115904000020237,4.018863240000792,0.0
mc_mislead_n300_p005_k20,300,5,MS_Random,5,14.6,20.0,3.5607519000004686,3.6369410399995106,0.0
mc_mislead_n300_p005_k20,300,10,MS_CTQW_cheb_d50,5,18.4,20.0,3.775072899999941,3.997571079999034,0.0
mc_mislead_n300_p005_k20,300,10,MS_Degree,5,18.0,20.0,3.7704544000007445,4.013941319998412,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.25_cheb_d50,5,18.0,20.0,3.865822499999922,4.165607859999,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.5_cheb_d50,5,18.0,20.0,3.7871464999989257,4.084139420002612,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.75_cheb_d50,5,18.4,20.0,3.7700928000012937,3.975986299999204,0.0
mc_mislead_n300_p005_k20,300,10,MS_Random,5,17.8,20.0,3.694321700000728,3.72139016000001,0.0
mc_mislead_n300_p005_k20,300,20,MS_CTQW_cheb_d50,5,19.6,20.0,4.0208913999995275,4.484686660002626,0.0
mc_mislead_n300_p005_k20,300,20,MS_Degree,5,18.6,20.0,4.038561100001971,4.505306919997383,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.25_cheb_d50,5,18.6,20.0,4.092644899999868,4.206019380000361,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.5_cheb_d50,5,18.6,20.0,4.093691199999739,4.194379040002241,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,4.020908200000122,4.155490960000316,0.0
mc_mislead_n300_p005_k20,300,20,MS_Random,5,19.0,20.0,3.7211133999990125,3.978033679998043,0.0
mc_mislead_n300_p01_k20,300,0,ClassicalClique,5,18.6,20.0,3.366813100001309,3.66058864000006,0.0
mc_mislead_n300_p01_k20,300,5,MS_CTQW_cheb_d50,5,18.8,20.0,3.6292523000010988,3.6615413999999875,0.0
mc_mislead_n300_p01_k20,300,5,MS_Degree,5,18.8,20.0,3.5658729000024323,3.665488680001727,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.25_cheb_d50,5,18.8,20.0,3.5592926000026637,3.7210148799997116,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.5_cheb_d50,5,18.8,20.0,3.579374499997357,3.5831794199992144,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.75_cheb_d50,5,18.4,20.0,3.4875384000006306,3.6135696199977247,0.0
mc_mislead_n300_p01_k20,300,5,MS_Random,5,12.0,18.0,3.416123400002107,3.6288317800019287,0.0
mc_mislead_n300_p01_k20,300,10,MS_CTQW_cheb_d50,5,19.0,20.0,3.596210700001393,3.7338680600012593,0.0
mc_mislead_n300_p01_k20,300,10,MS_Degree,5,19.0,20.0,3.7066419000002497,3.861893799999234,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.25_cheb_d50,5,19.0,20.0,3.6731384999984584,3.7761369799984097,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.5_cheb_d50,5,19.0,20.0,3.645593299999746,3.802509180000925,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,3.690653100002237,3.7662822199985384,0.0
mc_mislead_n300_p01_k20,300,10,MS_Random,5,19.2,20.0,3.597918800001935,3.640012220000062,0.0
mc_mislead_n300_p01_k20,300,20,MS_CTQW_cheb_d50,5,19.2,20.0,3.8944679999985965,4.037785259998782,0.0
mc_mislead_n300_p01_k20,300,20,MS_Degree,5,19.0,20.0,4.06695050000053,4.14358385999949,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.25_cheb_d50,5,19.0,20.0,3.940369700001611,4.050844440000219,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.5_cheb_d50,5,19.0,20.0,3.8773318999992625,4.041827239999838,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,3.9114645999979984,3.9892316799989205,0.0
mc_mislead_n300_p01_k20,300,20,MS_Random,5,19.6,20.0,3.707022099999449,3.756559779998497,0.0
